HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
Sakura House Kyoto( near Katsuragawa station),京都市南区久世上久世町２８３−３,,,"lodging, point_of_interest, establishment",34.9655694,135.715267,ChIJl6zGXQAHAWARD1KZTsavJs0
リラソゲストハウス,京都市南区唐橋門脇町４−１,4.6,57,"lodging, point_of_interest, establishment",34.9819467,135.7365802,ChIJearUuBMGAWARvb0TKGmvLqE
Funhouse 蘭,京都市南区久世大藪町28‐30,3.6,11,"lodging, point_of_interest, establishment",34.9611711,135.7191539,ChIJcd1KehkFAWAR-c1Y9QICl-E
桂川ハウス希 House Nozomi,京都市南区久世大藪町５−８,4.7,10,"lodging, point_of_interest, establishment",34.9617766,135.7181771,ChIJUeB7vyAHAWART16ICmrNGV8
京都南,京都市南区,,,"lodging, point_of_interest, establishment",34.9608758,135.7366854,ChIJ60p6AwAFAWAR_ZRcKisK7yk
-鳴間の宿 Narumanoyado- Kyoto Aquarium-MUS,京都市南区唐橋門脇町１１−８,,,"lodging, point_of_interest, establishment",34.98252679999999,135.7366822,ChIJGaO8GwAHAWARUI2U7WGXwSY
京唐庵,京都市南区唐橋門脇町１１−１,,,"lodging, point_of_interest, establishment",34.982613,135.7365716,ChIJQZ8RPv4HAWARXPXhn8jNWHs
FUNHOUSE_薫,京都市南区久世大藪町７８−３,2.6,5,"lodging, point_of_interest, establishment",34.960382,135.7198858,ChIJvahEQzAFAWARW0H7EKIQ7Qo
京の宿AZU 西大路,京都市下京区七条御所ノ内南町９３−１,,,"lodging, point_of_interest, establishment",34.9840215,135.7330882,ChIJbWhB1WoGAWAR3icwQ-TJDvE
桂川ハウス KatsuragawaHouse,京都市南区久世大藪町２６−９,4.5,14,"lodging, point_of_interest, establishment",34.9611568,135.7184671,ChIJv2Vo3QUFAWAR2AO-Qmrjm0Q
桜縁,京都市南区西九条豊田町３３−２,,,"lodging, point_of_interest, establishment",34.9756892,135.7432684,ChIJsdvZTAAHAWARF2yzNO20rGw
楓情,京都市南区西九条豊田町３３−１,,,"lodging, point_of_interest, establishment",34.9756883,135.7433119,ChIJE_cYcgAHAWARi8AgbYx--lA
守拙暖心居,京都市南区西九条豊田町３５−２６,5,2,"lodging, point_of_interest, establishment",34.9760576,135.7435045,ChIJxX0rOAYGAWARaWRCYJph2XE
翔龍庵,京都市南区唐橋羅城門町4ｰ10,5,8,"lodging, point_of_interest, establishment",34.978779,135.7423271,ChIJ8wQhkeoHAWARVHprRjcm_sI
京物語,京都市南区西九条大国町５２番地１０,,,"lodging, point_of_interest, establishment",34.9781203,135.7432426,ChIJ6_c6me4HAWARjI5tWazGSQw
京まいまい〜KYO MAIMAI〜,京都市西九条豊田町３８−９,4,2,"lodging, point_of_interest, establishment",34.9762852,135.7442778,ChIJudZ2JJAHAWAROwef483dF40
本町ハウス ペンギンハウス,京都市下京区七条御所ノ内本町８３,,,"lodging, point_of_interest, establishment",34.9854599,135.7316738,ChIJy1wYgmoGAWARPVjSctyjuiM
kyorakuya,京都市南区唐橋高田町３２−７,,,"lodging, point_of_interest, establishment",34.9804002,135.7419872,ChIJszb8OAAHAWARSIHtgcThfvA
江房Hostel,京都市南区唐橋高田町３０−１２,4.8,39,"lodging, point_of_interest, establishment",34.9807978,135.7417348,ChIJNbiT5g8GAWARhP9EtSyFHbU
Pure home 1,京都市南区唐橋井園町５２−８,4.5,6,"lodging, point_of_interest, establishment",34.9820777,135.7403743,ChIJqa-sdY4HAWARgwGl-GswP-k
桃李さくら庵 梅小路 ゲストハウス,京都市下京区梅小路東中町５９ ５９番地,3.3,3,"lodging, point_of_interest, establishment",34.98441,135.7367289,ChIJTS65FBQGAWAR_OG3TOjZ_Lw
Stay SAKURA Kyoto 椿,京都市南区八条内田町２６−１,4.5,49,"lodging, point_of_interest, establishment",34.97963459999999,135.7432732,ChIJA2E7gwUGAWARhh1riss5cuM
​Residence Jo 霖屋,京都市下京区七条御所ノ内中町１２,,,"lodging, point_of_interest, establishment",34.9862477,135.7312332,ChIJQaXOTwAHAWARmzri1MDD9ek
桜の宿 東寺千本,京都市南区唐橋高田町２０−１０,1,1,"lodging, point_of_interest, establishment",34.9812854,135.7419949,ChIJlb6Mxs8HAWARB7eL48AS-HY
喜楽・炎林苑,京都市南区唐橋高田町１９,5,1,"lodging, point_of_interest, establishment",34.9813592,135.7420533,ChIJzaRQSQAHAWARRXA1x6frCXI
Santana Guest House Kyoto サンタナゲストハウス京都,京都市下京区七条御所ノ内中町４５−２,4.2,68,"lodging, point_of_interest, establishment",34.9864573,135.7315106,ChIJK4FWOEAGAWARrUB3ofj84Lo
京都梅小路民宿,京都市下京区梅小路石橋町５４−４,4.3,3,"lodging, point_of_interest, establishment",34.98584890000001,135.7347242,ChIJU9vdr8EHAWARcJ1tSQa7IHQ
清盛梅花,京都市下京区梅小路東中町83−１,3,7,"lodging, point_of_interest, establishment",34.98524519999999,135.7371557,ChIJL_WqEGUHAWARcIjEhKA5Ifw
Kyoto cozy house 1946,京都市下京区梅小路石橋町４９−３,4.3,3,"lodging, point_of_interest, establishment",34.986053,135.7355374,ChIJ_Qhn-0kHAWARqYWtIPvipVY
京都プラザホテル近鉄十条,京都市南区西九条菅田町１−１,3.9,215,"lodging, restaurant, food, point_of_interest, establishment",34.9734786,135.7472537,ChIJ16fQxrQFAWARBHw1_3acCbw
琉璃心民宿,京都市南区八条内田町44番地2,,,"lodging, point_of_interest, establishment",34.9816748,135.7431457,ChIJG9wySmgHAWARMHJc1647Ddc
Aya Hotel,"44番地1, 44-1 八条内田町, 南区 京都市",5,3,"lodging, point_of_interest, establishment",34.9816555,135.7432114,ChIJBa4OGAAHAWAR6xFNCgeBxQY
Sunny side,Japan,3,1,"lodging, point_of_interest, establishment",34.9843593,135.7164118,ChIJm3d54VgGAWARsZSvgtD1Djg
紡 八条源町,京都市南区八条源町１１５,3.5,4,"lodging, point_of_interest, establishment",34.9820227,135.742854,ChIJ132GdMUHAWARQjaC-7kNeS4
都ホテル 京都八条,京都市南区西九条院町１７,4.1,7334,"lodging, point_of_interest, establishment",34.9839515,135.7557221,ChIJOwKjXKkIAWARWqpSj0AJhLE
京都プラザホテル本館・別館,京都市南区西九条蔵王町２８,3.7,1627,"lodging, point_of_interest, establishment",34.9812331,135.7534685,ChIJMb1vPqoIAWARDutOVeRJSJs
九条烏丸ハウス,京都市南区東九条中御霊町５１−２,4.4,146,"lodging, point_of_interest, establishment",34.979439,135.761616,ChIJA8U8fk0PAWARXkiiA83woWY
リーガロイヤルホテル 京都,京都市下京区松明町1番地,4.1,5610,"lodging, point_of_interest, establishment",34.9863853,135.7526951,ChIJ2_bqcpUIAWARCxsfbw83nEY
ホテルアンテルーム京都,京都市南区東九条明田町７,4.4,1399,"lodging, point_of_interest, establishment",34.9757424,135.7589803,ChIJkyOPflEPAWARiMMPK__Rac8
ピースホステル京都,京都市南区東九条東山王町２１−１,4.7,1261,"lodging, point_of_interest, establishment",34.983611,135.7621203,ChIJvyvihbIIAWARxakS-eHqjRE
グリーンリッチホテル京都駅南,京都市南区東九条下殿田町３,3.9,835,"lodging, point_of_interest, establishment",34.9797303,135.7562838,ChIJddyRRKsIAWAR1QJ7sccUuNk
京都新阪急ホテル,京都市下京区東塩小路町５７９,4,2818,"lodging, point_of_interest, establishment",34.9874218,135.7577113,ChIJWQ4wP68IAWARIes_wzazmKA
ホテル晴輝 京都ステーション,京都市南区東九条北烏丸町２４−５,3.9,172,"lodging, point_of_interest, establishment",34.98133079999999,135.7599441,ChIJO2n1Oq0IAWAR7JhfzddeZOQ
イビススタイルズ 京都ステーション,京都市南区東九条上殿田町４７,4.1,1787,"lodging, point_of_interest, establishment",34.9837462,135.7584549,ChIJg2i1O6wIAWARE4Xv-As-A0Q
ホテル エルシエント京都八条口,京都市南区東九条東山王町１３,4.2,2988,"lodging, point_of_interest, establishment",34.9837751,135.7613828,ChIJ2TkpW6wIAWARHE6lEPbg7Jw
ゲストハウス懐古的未来,京都市南区東九条中札辻町３３−３,4,11,"lodging, point_of_interest, establishment",34.977113,135.7620299,ChIJazKbCE4PAWARtkmKNOi06Lw
松本旅館,京都市下京区東塩小路町５７９ ホーム1,3.9,147,"lodging, point_of_interest, establishment",34.9873844,135.7581696,ChIJ6R-2Fa8IAWARio-TDnVf22k
Tabist スパークリングドルフィンズイン 京都,京都市南区東九条上御霊町５６ スパークリングドルフィンズイン京都,3.8,87,"lodging, point_of_interest, establishment",34.9797945,135.7627787,ChIJ1UJCZk0PAWARb5zfFn7L5uU
民泊みすずハウス,京都市南区東九条松田町６１−１５,4,1,"lodging, point_of_interest, establishment",34.9747338,135.7546483,ChIJt7JCNFQPAWARZXkUDJB9i8s
アルモントホテル京都,京都市南区東九条西岩本町２６−１,4.4,1801,"lodging, point_of_interest, establishment",34.9833003,135.7639236,ChIJ2XKv2LIIAWARcN_URhWO2n8
はる家 梅小路 ｜ HARUYA Umekoji,京都市下京区和気町1番地12,4,387,"lodging, point_of_interest, establishment",34.9886614,135.7488138,ChIJ9wB1IhwGAWARSRX9M7FFzrw
アパホテル〈京都駅堀川通〉,京都市下京区 油小路通塩小路西油小路町1番地,3.7,2754,"lodging, point_of_interest, establishment",34.986512,135.7536717,ChIJC9zDdagIAWARtJV4CjMuX98
アパホテル〈京都駅前〉,京都市下京区南不動堂町８０６ 西洞院通塩小路下ル,3.8,1843,"lodging, point_of_interest, establishment",34.9864192,135.7549834,ChIJ6V8-jagIAWARm9dUeM6cWM8
京都第一ホテル,京都市南区東九条下殿田町45,3.8,801,"lodging, point_of_interest, establishment",34.9796556,135.7569847,ChIJmxZjqawIAWARyFrmvcWcbwo
ダイワロイネットホテル京都八条口,京都市南区東九条北烏丸町９−２,4.2,1279,"lodging, restaurant, point_of_interest, food, establishment",34.981626,135.760024,ChIJ-aRTPK0IAWARkDLcRbtDIsI
ワシントンR＆Bホテル京都駅八条口,京都市南区東九条上殿田町４１−１,3.7,842,"lodging, point_of_interest, establishment",34.9830287,135.759511,ChIJLyhFrK0IAWARF8iIiOqZFV4
ゲストハウス 和／Guest House WA／便捷青旅 和,京都市下京区西八百屋町１５４ 七条通猪熊東入西八百屋町152 猪熊東入,3.8,69,"lodging, point_of_interest, establishment",34.9890608,135.7514864,ChIJv4Vc7R0GAWARVNvP6-ma-68
Hotel JIDAI,京都市下京区油小路町２９５,4.6,48,"lodging, point_of_interest, establishment",34.98864630000001,135.7536937,ChIJs-lHsKcIAWARJMgPzXvFzGs
ホテルグランヴィア京都,京都市下京区JR京都駅 中央口 烏丸通塩小路下ル,4.3,4610,"cafe, lodging, restaurant, point_of_interest, food, establishment",34.98585850000001,135.7589822,ChIJaVi89K4IAWAR4vsxLc_WnbM
ホテルエクセレンス・京都駅西,京都市南区西九条寺ノ前町８,3.4,454,"lodging, point_of_interest, establishment",34.98492589999999,135.7533699,ChIJ1UcSOKgIAWARCDzRaJErEiU
ランドーレジデンス京都クラシック,京都市南区東九条上御霊町５８−１,4.3,223,"lodging, point_of_interest, establishment",34.98004299999999,135.762525,ChIJjb3Ic00PAWARmWlayC8EjNE
Inarian TOBA,京都市東山区福稲下高松町４２−５,,,"lodging, point_of_interest, establishment",34.9736884,135.7676408,ChIJ___WQkYPAWAR10WpkbO-ZBM
Zen Kyoto Apartment Hotel,京都市伏見区竹田段川原町２３９,4.5,172,"lodging, point_of_interest, establishment",34.95809749999999,135.75738,ChIJX_ZdrmYPAWARyo4VjU8ySqQ
都シティ 近鉄京都駅,京都市下京区東塩小路釜殿町１−９,4.2,1993,"lodging, restaurant, point_of_interest, food, establishment",34.9848169,135.7575091,ChIJI9DHta4IAWARDmbkNQVFOlI
SAKURA TERRACE,京都市南区東九条烏丸町１−１,4.2,2068,"lodging, point_of_interest, establishment",34.97975900000001,135.759492,ChIJJVGF2VIPAWARq3tLCzPqHdE
Stay SAKURA Kyoto 祭,京都市下京区伊勢松町１１５,4.4,69,"lodging, point_of_interest, establishment",34.98751710000001,135.7514368,ChIJAQBAcR0GAWARFH5fAmwYi1U
相鉄フレッサイン 京都駅八条口,京都市南区東九条西山王町１１番地,4.4,1077,"lodging, point_of_interest, establishment",34.9828676,135.7610043,ChIJ19SvEq0IAWARLD6V_uVxg_8
京都タワーホテルアネックス,京都市下京区東塩小路町５９５−１,4,1084,"cafe, lodging, restaurant, point_of_interest, food, establishment",34.9880935,135.7565816,ChIJw3b2AaYIAWAR7RoLRIxjKQw
MIMARU京都 STATION,京都市南区東九条東山王町１５−１,4.8,409,"lodging, point_of_interest, establishment",34.98431109999999,135.7617109,ChIJSa6Rd7IIAWAR0VNhyWD2uMw
PREMIUM TOJI,京都市南区西九条比永城町119番地,4.5,70,"lodging, point_of_interest, establishment",34.97914319999999,135.7490514,ChIJq9L6lY0HAWARGjeyPKnaUEs
Nagomi-an Hachijyoutei,京都市南区東九条北烏丸町８−９ 和庵八条亭,4.8,9,"lodging, point_of_interest, establishment",34.9813823,135.7593955,ChIJn8EUIa0IAWARGBIFIiY8KCI
メルキュール 京都ステーション,京都市下京区油小路町２８８,4.4,1379,"bar, lodging, restaurant, food, point_of_interest, establishment",34.9884343,135.7535903,ChIJVbimhTQJAWARtXpd8c69fzs
カモンイン 相深 1,京都市伏見区深草相深町９−６,4.2,5,"lodging, point_of_interest, establishment",34.9725655,135.7691649,ChIJH09NI0cPAWARRQZzeDfn3xQ
Shiki Suites京都梅小路,京都市下京区上夷町１５７,4.4,104,"lodging, point_of_interest, establishment",34.9862796,135.750935,ChIJpwFSz70HAWARSY7S7KuN4mY
Moco hostel,京都市南区西九条御幸田町２４番地３,4.4,16,"lodging, point_of_interest, establishment",34.97554799999999,135.74957,ChIJkYRWLP4FAWAR5UEO8ANVn08
Riusu流苏,京都市南区西九条東柳ノ内町５８−７,4.5,14,"lodging, point_of_interest, establishment",34.97600860000001,135.7530758,ChIJW1CxbVUPAWARjtS7TkB6YNg
COTO京都 東寺２,京都市南区西九条南田町４４−６,4.4,17,"lodging, point_of_interest, establishment",34.97874479999999,135.7487559,ChIJQcZcFAEGAWAR1_SE0qGA_fk
ザ ネクスト ドア ロウワー イースト ナイン ホステル,京都市南区西九条東比永城町６５,4.1,72,"cafe, lodging, food, point_of_interest, establishment",34.9791577,135.7500613,ChIJKWvZpQEGAWARSoxng4iSaKE
KYOSTAYいろは 東寺別館,京都市南区東寺東門前町１１,4.6,83,"lodging, point_of_interest, establishment",34.98027450000001,135.7494938,ChIJJ2ppfgEGAWAReAjJDvgFDdI
京町家 宿《京ノ夢》,京都市南区東九条石田町４６−４６,4,10,"lodging, point_of_interest, establishment",34.97367959999999,135.7605827,ChIJExWWOVAPAWAR04e4FFPfoyg
"HOTEL SHE, KYOTO",京都市南区東九条南烏丸町１６,4.4,453,"lodging, point_of_interest, establishment",34.97718030000001,135.7594799,ChIJ26SOU1IPAWAR7WmdJChc-d0
九条ステイズ,京都市南区東九条中殿田町８,4.8,14,"lodging, point_of_interest, establishment",34.98085870000001,135.7556782,ChIJ-_HEoasIAWAREMxcnjOJ0eM
京と家 おたびしょ庵,京都市南区西九条池ノ内町９９−９,5,2,"lodging, point_of_interest, establishment",34.9827916,135.7530281,ChIJqQgP7KkIAWARR6a7yOGAyio
季楽庵kirakuan,京都市南区南区東九条中殿田町１９−２,4.3,3,"lodging, point_of_interest, establishment",34.9807447,135.7574197,ChIJ5Qpwl6wIAWARBOKJ5i5_rTk
いっぱく,京都市伏見区深草勧進橋町１０９−１,4.7,6,"lodging, point_of_interest, establishment",34.9679265,135.7620159,ChIJ00kdUUMPAWAR7Zt-UJVkWp0
LoveKyoto京緣館,京都市南区東九条西札辻町２３−１８,4.7,31,"lodging, point_of_interest, establishment",34.97690009999999,135.7613605,ChIJ1zpg_1EPAWARJj7cfbC3-y4
京のお宿 AZU,京都市南区東九条中殿田町１６−３,4.2,9,"lodging, point_of_interest, establishment",34.9812535,135.7577124,ChIJb2thhawIAWARV-2wddUYx38
9410 京都 宿,京都市南区東九条中殿田町１２−７,3,3,"lodging, point_of_interest, establishment",34.9817203,135.7575308,ChIJhYdDiKwIAWARKdgLej1ebdw
ホテルエクセレンス・京都駅八条口,"Hotel Excellence, 1F, ５-5 西九条鳥居口町, 南区 京都市",3.7,494,"lodging, point_of_interest, establishment",34.9835121,135.7540529,ChIJTfUBmakIAWARdYJWiU0KxHE
サクラテラス ザ・アトリエ,京都市南区東九条北烏丸町１−1,4.1,743,"lodging, point_of_interest, establishment",34.9808777,135.759003,ChIJC_e_YqsIAWARpWnAJYYPsWA
22PIECES,京都市南区東九条室町９−４,4.8,341,"lodging, point_of_interest, establishment",34.9824,135.7568831,ChIJd-N9iqsIAWARy2p2iJQYwCo
アーバンホテル京都,京都市伏見区深草西浦町４丁目59番地,3.7,1328,"lodging, point_of_interest, establishment",34.96140860000001,135.7680355,ChIJy4JUypYPAWARDIOifc3TjwM
布袋庵,京都市東山区本町２２２−９,5,4,"lodging, point_of_interest, establishment",34.98168649999999,135.7701349,ChIJY6K3FkoPAWARef3aIo5Pr5U
ホテル飯田,京都市下京区東塩小路町７１７−３,3.6,92,"lodging, point_of_interest, establishment",34.9876282,135.7605555,ChIJYY7VNK4IAWARxqX4DDC26Bo
京都センチュリーホテル,京都市下京区東塩小路町６８０ 京都センチュリーホテル,4.3,2356,"lodging, point_of_interest, establishment",34.9860815,135.7617614,ChIJjV_hBK4IAWARTMFgI50VdXc
ゲストハウス東山,京都市東山区今熊野南日吉町３０−２２,4.2,27,"lodging, point_of_interest, establishment",34.98449579999999,135.7784147,ChIJS8AVgTEPAWAR2tFzgBfnZ6M
ホテル佐野家(RYOKAN SANOYA),京都市下京区東塩小路町５３９,3.8,298,"lodging, point_of_interest, establishment",34.9876819,135.7609628,ChIJT-pGNaQIAWAR9qxA4ilQENM
京都ホワイトホテル,京都市下京区東塩小路町５５６,3.2,88,"lodging, point_of_interest, establishment",34.987798,135.7619437,ChIJT1DYLq4IAWAR9kzDgGbf_Kg
ドーミーインPREMIUM京都駅前,京都市下京区東塩小路町５５８−８,4.3,1747,"lodging, point_of_interest, establishment",34.9874424,135.7619008,ChIJVSsR2bEIAWARZsSeuqhAc4E
ハイアットリージェンシー京都,京都市東山区三十三間堂廻り６４４−２,4.3,2137,"lodging, point_of_interest, establishment",34.9886172,135.7735468,ChIJ_yycHcsIAWARO8pU_wZq320
西喜楼,京都市下京区東塩小路町７１１−７ 不明門通七条下る,4.4,48,"lodging, point_of_interest, establishment",34.9881081,135.7605193,ChIJebXuPKQIAWARsG0f6b7XdJs
OHTO Ryokan,京都市東山区鴨川東一筋目南入ル,3.1,224,"lodging, point_of_interest, establishment",34.9887938,135.7687439,ChIJ_1p1s7UIAWARlLUZRcgR7FA
村の家,京都市東山区福稲柿本町２０−７０,5,2,"lodging, point_of_interest, establishment",34.9785152,135.7688393,ChIJ6f5UqEkPAWARuvMgMFiMFqY
編暇,京都市東山区今熊野総山町１−１２,4.3,19,"lodging, point_of_interest, establishment",34.9838408,135.7825025,ChIJ1wHfri8PAWARxMU0lysiOyM
ホテル法華クラブ 京都,京都市下京区東塩小路町５７９−１６ ホテル法華クラブ京都 １階,4.1,1340,"lodging, point_of_interest, establishment",34.9875186,135.7587572,ChIJB5VdDq8IAWARlVx3RYLAJhM
宿彩 アートステイイン東福寺,京都市東山区福稲柿本町２４−１ 水明荘,4.3,16,"lodging, point_of_interest, establishment",34.97902649999999,135.7687214,ChIJFYV8oEkPAWARKzczMG4ZDdg
Walker House Kyoto,京都市東山区泉涌寺東林町14−７,4,6,"lodging, point_of_interest, establishment",34.9813216,135.7763527,ChIJTxnY2TAPAWARg8t4fRkaNYs
町家 月輪こはく庵,京都市東山区泉涌寺雀ケ森町３−８,4.4,20,"lodging, point_of_interest, establishment",34.9823283,135.7732888,ChIJWea7fzYPAWAR3Ct8V7VAPZA
ゲストハウス東山 じゃお,京都市東山区今熊野南日吉町１４８−７５,4.9,11,"lodging, point_of_interest, establishment",34.9844726,135.7801029,ChIJvT947jEPAWARM6HdqZy-gps
熊野ハウス,京都市東山区今熊野日吉町１１９−４,3.4,5,"lodging, point_of_interest, establishment",34.985765,135.7780796,ChIJcWNIojQPAWARQRvLR7Z4r-Q
JQ Villa Kyoto Maiko Han-inn,京都市東山区泉涌寺五葉ノ辻町２０−２,3.7,3,"lodging, point_of_interest, establishment",34.982302,135.771642,ChIJecoi7jUPAWARIlSqPYNwpjQ
Kyoto Higashiyama Honmachi apartment,京都市東山区本町１３６ ８,4.8,5,"lodging, point_of_interest, establishment",34.98498000000001,135.7700789,ChIJPXXrtkoPAWARYiR77cJbnCQ
アパホテル〈京都駅前中央口〉,京都市下京区塩小路町533番地 東洞院通七条下ル,3.7,1283,"lodging, point_of_interest, establishment",34.9879264,135.76094,ChIJQ1mvza8IAWARU4XlCI0M10o
旅館からたち,京都市伏見区深草一ノ坪町２０−６,3.7,7,"lodging, point_of_interest, establishment",34.9688919,135.769509,ChIJjd67REAPAWARowG2PwpbTQ0
花 伏見稲荷店,京都市伏見区深草一ノ坪町20−７ ドミール稲荷,4.2,12,"lodging, point_of_interest, establishment",34.9687336,135.7697623,ChIJVVW5QUAPAWARySejO--Pox8
レジデンス イン ニコン,京都市伏見区深草西浦町３丁目１４−３,3.4,9,"lodging, point_of_interest, establishment",34.9616403,135.7655711,ChIJFaKCRWkPAWARFB8i-2mgsN4
下町ブルース,京都市南区東九条宇賀辺町５４−７,5,2,"lodging, point_of_interest, establishment",34.9776752,135.7649078,ChIJIUiiXegOAWAR4nYI2Q0EaFk
Goodsleep-ya ぐっすり家 伏見稲荷,京都市伏見区深草一ノ坪町３７ 17 West,4,2,"lodging, point_of_interest, establishment",34.9689786,135.7689337,ChIJxV5dUUAPAWARkSYJoXh7OyI
nini hostel 伏見稲荷,京都市伏見区深草一ノ坪町３８−１５,5,43,"lodging, point_of_interest, establishment",34.9685944,135.7685666,ChIJlTNmrUEPAWARs-dOf19hNKU
稲荷凰庵,京都市伏見区深草稲荷鳥居前町２２−３,4.1,16,"lodging, point_of_interest, establishment",34.9665609,135.7687321,ChIJI2t7h2oPAWARshiAWMTX7bE
渡庵-Watarian-,京都市南区東九条南松ノ木町３５−１,5,1,"lodging, point_of_interest, establishment",34.977248,135.7649469,ChIJn5G6604PAWARV_v9ZZDT3Do
ホテルファインオリーブ京都山科店,京都市山科区上花山坂尻１０７−１６,2.9,15,"lodging, point_of_interest, establishment",34.9821718,135.7958618,ChIJ75JAONwOAWARfVnP871rXeI
Theatre and Library Residence -Kyoto Imagumano-,京都市東山区東山区今熊野南日吉町１４８−５９,3.5,2,"lodging, point_of_interest, establishment",34.984769,135.780405,ChIJkQGG4TEPAWARRxRqMMcQvVY
東福寺サムライ町家(Tofukuji samurai Machiya),京都市東山区泉涌寺五葉ノ辻町,4.7,11,"lodging, point_of_interest, establishment",34.9825845,135.7724507,ChIJTcwXwzUPAWARjcW5xc-bLmo
京都東山くるみ,京都市東山区泉涌寺五葉ノ辻町４−５,4.5,11,"lodging, point_of_interest, establishment",34.982059,135.771171,ChIJmzau9zUPAWAR2h-rt6liAHE
清明舎,京都市伏見区稲荷山官有地１７−１,4.1,14,"lodging, point_of_interest, establishment",34.96974699999999,135.7852646,ChIJfX6k_hsPAWARYPUiQ0iPniw
NISHIKIEN YAMASHINA VILLA,京都市山科区西野山桜ノ馬場町９０,,,"lodging, point_of_interest, establishment",34.96868930000001,135.7972224,ChIJKzOq7VoPAWAR3xMAjJTjYZ4
ハイツ村田,"西野山百々町, KyōtoKyoto, 山科区",,,"lodging, point_of_interest, establishment",34.9761449,135.7969742,ChIJMxbbGgAPAWARDAaq8z3rzI4
サンカ株式会社,京都市東山区今熊野南谷町１７−１,,,"lodging, point_of_interest, establishment",34.97561700000001,135.7785242,ChIJZRJ3eioPAWAR9073aiiaEVQ
京都逸苑itsu-en民宿,京都市東山区今熊野南谷町１８−９,,,"lodging, point_of_interest, establishment",34.97604880000001,135.778318,ChIJgXzrewAPAWARJksSwlMhylU
民泊 稲荷山,京都市伏見区深草坊山町３５−７,4.9,9,"lodging, point_of_interest, establishment",34.9637728,135.7805912,ChIJQU9wet8PAWARYZiUn5qXEng
Kyoto Share House 『田舎〜INAKA〜』,京都市山科区山科区川田菱尾田１７−１３１,5,8,"lodging, point_of_interest, establishment",34.9774869,135.7988431,ChIJIYIfPeYOAWARWsTgO50sB1U
パルコ,京都市山科区上花山坂尻１０７−１４,3.3,20,"lodging, point_of_interest, establishment",34.9819168,135.7957006,ChIJwQ5VNtwOAWARJhMTabZe-Bo
京町家ステイ 和華 伏見稲荷邸,京都市伏見区深草開土町５１,4.1,8,"real_estate_agency, lodging, travel_agency, point_of_interest, establishment",34.9686293,135.7724846,ChIJa7OB4D8PAWARRbQ9ceOnjj0
Loc Kyoto,京都市東山区泉涌寺東林町３２,1,1,"lodging, point_of_interest, establishment",34.9801731,135.7758242,ChIJpZiEcQAPAWARE9fIMblj4qI
シェアハウスYADOKARI 深草開土町,京都市伏見区深草開土町９６−１ 96番地1,5,2,"lodging, point_of_interest, establishment",34.9709828,135.7719262,ChIJb6fEyZkPAWAR0gkOe8p8pwc
shared house Imakumano,京都市東山区今熊野南日吉町３８,,,"lodging, point_of_interest, establishment",34.9838331,135.7814012,ChIJH7zVBF0PAWARpwCwXKUg8l4
Tofukuji House by Japan Experience,"Imakumano-Tsuruginomiya-cho, 28-4, 東山区 京都市",5,6,"lodging, point_of_interest, establishment",34.9823322,135.7772864,ChIJ1_uyHnUPAWAROCa0yeddTyk
Connect Inn 泉湧寺,京都市東山区泉涌寺東林町10−３,5,1,"lodging, point_of_interest, establishment",34.9813889,135.7758242,ChIJO_x0RdEPAWARryCQV15Fz90
京町屋 仙遊/KYOMACHIYA SENYU,京都市東山区泉涌寺東林町２０−６,,,"lodging, point_of_interest, establishment",34.9812161,135.7755125,ChIJ09OIuV0PAWARTXVYFgEAp5U
シェアハウス隣輪Rin Rin,京都市山科区栗栖野打越町１２−８,,,"lodging, point_of_interest, establishment",34.97267280000001,135.8052903,ChIJnZZUjoAPAWARyYgjV1mycNc
奏 伏見稲荷,京都市伏見区深草稲荷榎木橋町１５−３,3.8,5,"lodging, point_of_interest, establishment",34.9690951,135.7710837,ChIJIU9QYvcPAWART1CjHWi7Baw
御屋・松,京都市伏見区深草藪之内町１７−３ 17番地３,4.9,8,"lodging, point_of_interest, establishment",34.9655383,135.7724151,ChIJZYelvBgPAWAR8HIU7bqUZjI
御屋・稲,京都市伏見区深草藪之内町45番地１,,,"lodging, point_of_interest, establishment",34.9663408,135.7719343,ChIJ45JbfD4PAWARzYsWHWO5eiU
ゲストハウス宮之軒 伏見稲荷,京都市東山区本町１９丁目４２７−２,4.5,2,"lodging, point_of_interest, establishment",34.9738499,135.770901,ChIJUTPBS5cPAWARbcHuJGA5JsQ
御屋・荷,京都市伏見区深草藪之内町45番地３ー２,,,"lodging, point_of_interest, establishment",34.9662758,135.7719136,ChIJVZfJlu8PAWARwX3OrvHPcMI
御屋・榊,京都市伏見区深草藪之内町４５−４,,,"lodging, point_of_interest, establishment",34.9662758,135.7719136,ChIJnZT1Ua4PAWARjq9pEWTB5rE
御宿 長谷川,京都市東山区本町１９丁目３９９,5,2,"lodging, point_of_interest, establishment",34.9749892,135.7709633,ChIJY3Hx58cPAWARHGQlBVBWvnE
bliss京都伏見稲荷,京都市伏見区深草稲荷榎木橋町２８,,,"lodging, point_of_interest, establishment",34.9691516,135.7707134,ChIJKQ7oRAAPAWARCJDXhXseOjk
One More Heart at Fushimi Inari,京都市伏見区深草稲荷中之町５８,3.7,49,"lodging, point_of_interest, establishment",34.96831439999999,135.7708947,ChIJoWOFiNEPAWART_fFRUw4gsg
